Year,Population,Total,Violent,Property,Murder,Forcible_Rape,Robbery,Aggravated_assault,Burglary,Larceny_Theft,Vehicle_Theft
1960.0,179323175.0,3384200.0,288460.0,3095700.0,9110.0,17190.0,107840.0,154320.0,912100.0,1855400.0,328200.0
1970.0,203235298.0,8098000.0,738820.0,7359200.0,16000.0,37990.0,349860.0,334970.0,2205000.0,4225800.0,928400.0
1980.0,225349264.0,13408300.0,1344520.0,12063700.0,23040.0,82990.0,565840.0,672650.0,3795200.0,7136900.0,1131700.0
1990.0,248709873.0,14475600.0,1820130.0,12655500.0,23440.0,102560.0,639270.0,1054860.0,3073900.0,7945700.0,1635900.0
2000.0,281421906.0,11608072.0,1425486.0,10182586.0,15586.0,90178.0,408016.0,911706.0,2050992.0,6971590.0,1160002.0
2010.0,309330219.0,10363873.0,1251248.0,9112625.0,14772.0,85593.0,369089.0,781844.0,2168457.0,6204601.0,739565.0
